[2026-08-11 18:03:16 UTC] === СТАРТ. окон всего 8147, уже сделано 0, к работе 8147 ===
[2026-08-11 18:03:16 UTC] свободно на диске 29.5 ГБ, пауза 0.4 с, стоп-флаг /var/lib/github_export/backfill.STOP
[2026-08-11 18:05:29 UTC] 62/8147 | NILUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +135366 | темп 1686 окон/ч, осталось ~4.8 ч | диск 29.5 ГБ
[2026-08-11 18:05:31 UTC] 63/8147 | KITEUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +138246 | темп 1685 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:33 UTC] 64/8147 | BLESSUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +141126 | темп 1681 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:36 UTC] 65/8147 | XPLUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +144006 | темп 1680 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:38 UTC] 66/8147 | EGLDUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +146886 | темп 1679 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:42 UTC] 68/8147 | ALLOUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +151206 | темп 1682 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:46 UTC] 70/8147 | KAITOUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +155526 | темп 1682 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:48 UTC] 71/8147 | CYSUSDT 2026-08-10: +2880 свечей (прогнозов ждало 6) | всего +158406 | темп 1682 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:51 UTC] 72/8147 | BEATUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +161286 | темп 1679 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:53 UTC] 73/8147 | XMRUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +164166 | темп 1674 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:56 UTC] 74/8147 | EPICUSDT 2026-08-10: +2880 свечей (прогнозов ждало 2) | всего +167046 | темп 1669 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:05:58 UTC] 75/8147 | LITUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +169926 | темп 1669 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:06:01 UTC] 76/8147 | TUTUSDT 2026-08-10: +2880 свечей (прогнозов ждало 3) | всего +172806 | темп 1667 окон/ч, осталось ~4.8 ч | диск 29.4 ГБ
[2026-08-11 18:06:04 UTC] 77/8147 | MUUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +175686 | темп 1659 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:06 UTC] 78/8147 | ZESTUSDT 2026-08-10: +2880 свечей (прогнозов ждало 2) | всего +178566 | темп 1655 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:08 UTC] 79/8147 | SPCXUSDT 2026-08-10: +2880 свечей (прогнозов ждало 2) | всего +181446 | темп 1655 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:11 UTC] 80/8147 | COINUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +184326 | темп 1650 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:13 UTC] 81/8147 | SNDKUSDT 2026-08-10: +2880 свечей (прогнозов ждало 2) | всего +187206 | темп 1649 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:15 UTC] 82/8147 | BSPUSDT 2026-08-10: +2880 свечей (прогнозов ждало 1) | всего +190086 | темп 1650 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:18 UTC] 83/8147 | BTCUSDT 2026-08-07: +2880 свечей (прогнозов ждало 43) | всего +192966 | темп 1646 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:20 UTC] 84/8147 | ETHUSDT 2026-08-07: +2880 свечей (прогнозов ждало 8) | всего +195846 | темп 1646 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:22 UTC] 85/8147 | BNBUSDT 2026-08-07: +2880 свечей (прогнозов ждало 4) | всего +198726 | темп 1646 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:25 UTC] 86/8147 | ADAUSDT 2026-08-07: +2880 свечей (прогнозов ждало 17) | всего +201606 | темп 1646 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:27 UTC] 87/8147 | SOLUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +204486 | темп 1645 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:29 UTC] 88/8147 | DOTUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +207366 | темп 1645 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:32 UTC] 89/8147 | DOGEUSDT 2026-08-07: +2880 свечей (прогнозов ждало 5) | всего +210246 | темп 1642 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:34 UTC] 90/8147 | XRPUSDT 2026-08-07: +2880 свечей (прогнозов ждало 8) | всего +213126 | темп 1641 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:36 UTC] 91/8147 | LTCUSDT 2026-08-07: +2880 свечей (прогнозов ждало 4) | всего +216006 | темп 1640 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:38 UTC] 92/8147 | LINKUSDT 2026-08-07: +2880 свечей (прогнозов ждало 3) | всего +218886 | темп 1640 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:41 UTC] 93/8147 | AVAXUSDT 2026-08-07: +2880 свечей (прогнозов ждало 6) | всего +221766 | темп 1640 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:43 UTC] 94/8147 | ATOMUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +224646 | темп 1639 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:45 UTC] 95/8147 | NEARUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +227526 | темп 1638 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:48 UTC] 96/8147 | XLMUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +230406 | темп 1637 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
